match_id,home,away,date
1,FLAMENGO/RJ,PALMEIRAS/SP,2025-10-19
2,INTERNACIONAL/RS,SPORT/PE,2025-10-19
3,CORINTHIANS/SP,ATLETICO/MG,2025-10-18
4,ROMA,INTER DE MILAO,2025-10-18
5,ATLETICO MADRID,OSASUNA,2025-10-18
6,CRUZEIRO/MG,FORTALEZA/CE,2025-10-18
7,TOTTENHAM,ASTON VILLA,2025-10-19
8,MIRASSOL/SP,SAO PAULO/SP,2025-10-19
9,CEARA/CE,BOTAFOGO/RJ,2025-10-19
10,LIVERPOOL,MANCHESTER UNITED,2025-10-19
11,ATALANTA BERGAMAS,LAZIO,2025-10-19
12,BAHIA/BA,GREMIO/RS,2025-10-19
13,MILAN,FIORENTINA,2025-10-19
14,GETAFE,REAL MADRID,2025-10-19
