match_id,market,odd_home,odd_draw,odd_away,provider,ts_utc
1,1X2,1.33,5.25,9.00,Bet365,2025-09-19 01:15:00
2,1X2,2.25,3.10,3.50,Bet365,2025-09-19 01:10:00
3,1X2,2.55,3.10,2.90,Bet365,2025-09-19 01:12:00
4,1X2,1.66,3.60,5.25,Bet365,2025-09-19 01:19:00
5,1X2,1.70,3.60,5.25,Bet365,2025-09-19 01:12:00
6,1X2,2.37,3.10,3.25,Bet365,2025-09-19 01:20:00
7,1X2,1.70,4.20,8.50,Bet365,2025-09-19 01:13:00
8,1X2,1.80,3.50,4.50,Bet365,2025-09-19 01:21:00
9,1X2,1.48,4.00,7.00,Bet365,2025-09-19 01:14:00
10,1X2,1.80,3.60,4.50,Bet365,2025-09-19 01:16:00
11,1X2,2.87,3.00,2.70,Bet365,2025-09-19 01:17:00
12,1X2,1.55,3.80,6.50,Bet365,2025-09-19 01:22:00
13,1X2,2.25,3.10,3.50,Bet365,2025-09-19 01:18:00
14,1X2,1.53,4.00,6.50,Bet365,2025-09-19 01:18:00
