alias,canonical
CORINTHIANS/SP,Corinthians
CORINTHIANS,Corinthians
S.C. Corinthians Paulista,Corinthians
FLAMENGO/RJ,Flamengo
FLAMENGO,Flamengo
Clube de Regatas do Flamengo,Flamengo
FORTALEZA/CE,Fortaleza
FORTALEZA,Fortaleza
Sport Club do Recife,Sport Recife
SPORT/PE,Sport Recife
SPORT RECIFE,Sport Recife
JUVENTUDE/RS,Juventude
JUVENTUDE,Juventude
INTERNACIONAL/RS,Internacional
INTERNACIONAL,Internacional
VASCO DA GAMA/RJ,Vasco da Gama
VASCO DA GAMA,Vasco da Gama
CRUZEIRO/MG,Cruzeiro
CRUZEIRO,Cruzeiro
ATHLETICO/PR,Athletico Paranaense
ATHLETICO PARANAENSE,Athletico Paranaense
OPERARIO/PR,Operario PR
OPERÁRIO/PR,Operario PR
OPERARIO PR,Operario PR
ATLETICO/MG,Atletico Mineiro
ATLÉTICO/MG,Atletico Mineiro
ATLÉTICO MINEIRO,Atletico Mineiro
MIRASSOL/SP,Mirassol
MIRASSOL,Mirassol
GRÊMIO/RS,Gremio
GRÊMIO,Gremio
GREMIO,Gremio
VITORIA/BA,EC Vitoria
VITÓRIA/BA,EC Vitoria
VITORIA,EC Vitoria
EC VITÓRIA,EC Vitoria
BAHIA/BA,Bahia
BAHIA,Bahia
PALMEIRAS/SP,Palmeiras
PALMEIRAS,Palmeiras
FLUMINENSE/RJ,Fluminense
FLUMINENSE,Fluminense
BOTAFOGO/RJ,Botafogo
BOTAFOGO,Botafogo
CRICIÚMA/SC,Criciuma
CRICIUMA/SC,Criciuma
CRICIÚMA,Criciuma
CRICIUMA,Criciuma
PAYSANDU/PA,Paysandu
PAYSANDU,Paysandu
BRAGANTINO/SP,RB Bragantino
BRAGANTINO,RB Bragantino
RED BULL BRAGANTINO,RB Bragantino
SANTOS/SP,Santos
SANTOS,Santos

# Inglaterra (EPL)
ASTON VILLA,Aston Villa
FULHAM,Fulham
NEW CASTLE,Newcastle United
NEWCASTLE,Newcastle United
NEWCASTLE UTD,Newcastle United
NEWCASTLE UNITED,Newcastle United
ARSENAL,Arsenal
MAN UNITED,Manchester United
MAN UTD,Manchester United
MANCHESTER UTD,Manchester United
MANCHESTER UNITED,Manchester United
MAN CITY,Manchester City
MANCHESTER CITY,Manchester City
TOTTENHAM HOTSPUR,Tottenham
TOTTENHAM,Tottenham
CHELSEA,Chelsea
LIVERPOOL,Liverpool

# Espanha (LaLiga)
BARCELONA,Barcelona
FC BARCELONA,Barcelona
REAL SOCIEDAD,Real Sociedad
REAL MADRID,Real Madrid
ATLETICO MADRID,Atletico Madrid
ATLÉTICO DE MADRID,Atletico Madrid
SEVILLA,Sevilla
VALENCIA,Valencia
VILLARREAL,Villarreal
ATHLETIC BILBAO,Athletic Club
ATHLETIC CLUB,Athletic Club
GIRONA,Girona
BETIS,Real Betis
REAL BETIS,Real Betis
